time,open,high,low,close,volume
7/31/2009,476.66,476.66,476.66,476.66,
8/3/2009,478.76,478.76,478.76,478.76,
8/4/2009,486.49,486.49,486.49,486.49,
8/5/2009,491.55,491.55,491.55,491.55,
8/6/2009,493.5,493.5,493.5,493.5,
8/7/2009,493.91,493.91,493.91,493.91,
8/10/2009,504.7,504.7,504.7,504.7,
8/11/2009,507.75,507.75,507.75,507.75,
8/12/2009,511.56,511.56,511.56,511.56,
8/13/2009,517.08,517.08,517.08,517.08,
8/14/2009,521.04,521.04,521.04,521.04,
8/17/2009,513.04,513.04,513.04,513.04,
8/18/2009,512.53,512.53,512.53,512.53,
8/19/2009,521.24,521.24,521.24,521.24,
8/20/2009,528.02,528.02,528.02,528.02,
8/21/2009,534,534,534,534,
8/24/2009,542.36,542.36,542.36,542.36,
8/25/2009,541.37,541.37,541.37,541.37,
8/26/2009,538.6,538.6,538.6,538.6,
8/27/2009,539.37,539.37,539.37,539.37,
8/28/2009,548,548,548,548,
8/31/2009,559,559,559,559,
9/1/2009,560.36,560.36,560.36,560.36,
9/3/2009,553.65,553.65,553.65,553.65,
9/4/2009,541.19,541.19,541.19,541.19,
9/7/2009,537.93,537.93,537.93,537.93,
9/8/2009,552.15,552.15,552.15,552.15,
9/9/2009,551.23,551.23,551.23,551.23,
9/10/2009,558.26,558.26,558.26,558.26,
9/11/2009,567.22,567.22,567.22,567.22,
9/14/2009,576.99,576.99,576.99,576.99,
9/15/2009,575.92,575.92,575.92,575.92,
9/16/2009,570.69,570.69,570.69,570.69,
9/17/2009,577.38,577.38,577.38,577.38,
9/18/2009,587.13,587.13,587.13,587.13,
9/21/2009,595.89,595.89,595.89,595.89,
9/22/2009,604.19,604.19,604.19,604.19,
9/23/2009,601.48,601.48,601.48,601.48,
9/24/2009,589.57,589.57,589.57,589.57,
9/25/2009,597.56,597.56,597.56,597.56,
9/28/2009,597.09,597.09,597.09,597.09,
9/29/2009,597.07,597.07,597.07,597.07,
9/30/2009,594.12,594.12,594.12,594.12,
10/1/2009,583.75,583.75,583.75,583.75,
10/2/2009,564.25,564.25,564.25,564.25,
10/5/2009,565.29,565.29,565.29,565.29,
10/6/2009,567.67,567.67,567.67,567.67,
10/7/2009,582.84,582.84,582.84,582.84,
10/8/2009,585.55,585.55,585.55,585.55,
10/9/2009,593.35,593.35,593.35,593.35,
10/12/2009,604.52,604.52,604.52,604.52,
10/13/2009,598.72,598.72,598.72,598.72,
10/14/2009,615.47,615.47,615.47,615.47,
10/15/2009,626.72,626.72,626.72,626.72,
10/16/2009,619.37,619.37,619.37,619.37,
10/19/2009,616.61,616.61,616.61,616.61,
10/20/2009,627.97,627.97,627.97,627.97,
10/21/2009,631.46,631.46,631.46,631.46,
10/22/2009,636.78,636.78,636.78,636.78,
10/23/2009,626.78,626.78,626.78,626.78,
10/26/2009,621.83,621.83,621.83,621.83,
10/27/2009,611.2,611.2,611.2,611.2,
10/28/2009,616.66,616.66,616.66,616.66,
10/29/2009,600.49,600.49,600.49,600.49,
10/30/2009,606.31,606.31,606.31,606.31,
11/2/2009,578.75,578.75,578.75,578.75,
11/3/2009,555.39,555.39,555.39,555.39,
11/4/2009,556.31,556.31,556.31,556.31,
11/5/2009,574.79,574.79,574.79,574.79,
11/6/2009,573.79,573.79,573.79,573.79,
11/9/2009,554.02,554.02,554.02,554.02,
11/10/2009,548.05,548.05,548.05,548.05,
11/11/2009,564.95,564.95,564.95,564.95,
11/12/2009,575.25,575.25,575.25,575.25,
11/13/2009,576.7,576.7,576.7,576.7,
11/16/2009,573.61,573.61,573.61,573.61,
11/17/2009,577.14,577.14,577.14,577.14,
11/18/2009,585.63,585.63,585.63,585.63,
11/19/2009,594.27,594.27,594.27,594.27,
11/20/2009,592.36,592.36,592.36,592.36,
11/23/2009,572.58,572.58,572.58,572.58,
11/24/2009,562.74,562.74,562.74,562.74,
11/25/2009,538.32,538.32,538.32,538.32,
11/26/2009,518.17,518.17,518.17,518.17,
11/27/2009,526.21,526.21,526.21,526.21,
11/30/2009,544.94,544.94,544.94,544.94,
12/1/2009,554.61,554.61,554.61,554.61,
12/2/2009,538.7,538.7,538.7,538.7,
12/3/2009,533.45,533.45,533.45,533.45,
12/4/2009,531.53,531.53,531.53,531.53,
12/7/2009,534.07,534.07,534.07,534.07,
